car name,brand
BRIO SATYA S 1.2,Honda
COLT L300 PICK UP 2.5,Mitsubishi
FREED E 1.5,Honda
SIGRA M 1.0,Daihatsu
SIGRA R 1.2,Daihatsu
2 R 1.5,Mazda
CR-V TURBO PRESTIGE 1.5,Honda
3 20I (CKD) 2.0,BMW
BRIO E 1.3,Honda
FREED S 1.5,Honda
RAIZE GR SPORT TSS 1.0,Toyota
STARGAZER PRIME 1.5,Hyundai
